,precision,recall,f1-score,support
left,0.9823232323232324,0.9725,0.9773869346733668,400.0
right,0.9948717948717949,0.97,0.9822784810126582,400.0
up,0.9974226804123711,0.9675,0.9822335025380711,400.0
down,1.0,0.975,0.9873417721518988,400.0
open_palm,1.0,1.0,1.0,400.0
like,1.0,0.9525,0.9756722151088348,400.0
dorsal,0.0,0.0,0.0,0.0
ok,1.0,0.9725,0.9860583016476553,400.0
fist,0.9974619289340102,0.9825,0.9899244332493703,400.0
thumb_down,0.9948186528497409,0.96,0.9770992366412213,400.0
no_gesture,0.8209876543209876,0.9975,0.9006772009029346,400.0
accuracy,0.975,0.975,0.975,0.975
macro avg,0.8898078130647398,0.8863636363636366,0.8871520070841828,4000.0
weighted avg,0.9787885943712137,0.975,0.9758672077926014,4000.0
